Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,134,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,134,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,134,16,"M:System.Data.SqlClient.SqlParameterCollection.Add(System.String,System.Data.SqlDbType)",,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,134,16,P:System.Data.SqlClient.SqlParameter.Value,,,,,"cmd.Parameters.Add(""@allDay"", SqlDbType.Bit).Value = evt.AllDay;"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,133,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,133,16,P:System.Data.SqlClient.SqlCommand.Parameters,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,133,16,T:System.Data.SqlClient.SqlParameter,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,133,16,"M:System.Data.SqlClient.SqlParameterCollection.Add(System.String,System.Data.SqlDbType)",,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,133,16,P:System.Data.SqlClient.SqlParameter.Value,,,,,"cmd.Parameters.Add(""@end"", SqlDbType.DateTime).Value = Helpers.ToDBNullOrDefault(evt.End);"
Api.0002,Source incompatible for selected .NET version,Active,Potential,1,fullcalendar-core\fullcalendar-core.csproj,File,fullcalendar-core\DataAccessLayer\DA.cs,132,16,T:System.Data.SqlClient.SqlParameterCollection,,,,,"cmd.Parameters.Add(""@start"", SqlDbType.DateTime).Value = evt.Start;"
